Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-13,18C-13 tw,18C-13,
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-15,18C-15 tw,18C-15,
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-19,18C-19 tw,18C-19,
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-21,18C-21 tw,18C-21,
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-30,18C-30 tw,18C-30,
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-38,18C-38 tw,18C-38,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-2,18C-2 tw,18C-2,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-3,18C-3 tw,18C-3,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-4,18C-4 tw,18C-4,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-5,18C-5 tw,18C-5,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-6,18C-6 tw,18C-6,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-8,18C-8 tw,18C-8,
Ceiling below roof joists,,,,,Tile,White,Board insulation,R-10,18C-10 tw,18C-10,
Ceiling below roof joists,,,,,Wood shakes,Dark,None,,18B-0 wd,18B-0,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-11,18B-11 wd,18B-11,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-13,18B-13 wd,18B-13,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-15,18B-15 wd,18B-15,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-19,18B-19 wd,18B-19,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-21,18B-21 wd,18B-21,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-30,18B-30 wd,18B-30,
Ceiling below roof joists,,,,,Wood shakes,Dark,Blanket or loose fill,R-38,18B-38 wd,18B-38,
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-2,18B-2 wd,18B-2,
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-3,18B-3 wd,18B-3,
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-4,18B-4 wd,18B-4,
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-5,18B-5 wd,18B-5,
Ceiling below roof joists,,,,,Wood shakes,Dark,Board insulation,R-6,18B-6 wd,18B-6,
